,patterns,text
28,pre- placement,"Job Description<br>A digital marketing executive plays a specialized,  individual contributor role as part of the Digital Marketing & Analytics team.  Through digital and online techniques and analysis,  the digital marketing executive pursues specific goals in lead generation,  lead qualification,  communication,  brand building and conversion. <br> End to End execution of marketing projects and campaigns,  including ideation,  creation of collaterals,  distribution of collaterals in various media and measurement and analysis of impact.  <br> Execution of Search Engine Optimization on a continuous basis <br> Execution of Social Media Marketing efforts <br> Creation and execution of SMS and Email based marketing campaigns <br> Continuous review and active management of website and other online assets Passion for brand building and creativity are required for this role.  Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement.  Strong skills in online marketing,  branding,  social media marketing and copywriting are desirable.  Prior experience and training in online brand building would be a strong credential.  Abilities and aptitude in sales,  business development,  customer interaction and relationship would be appreciated. <br>The candidate will be trained in job specific skill requirements during the induction and probation period.  Strong Performance based Incentives and team targets will form an integral part of the job. <br>The role is an ideal preparation ground for more substantial roles in Marketing Management,  Product Management,  Product Marketing,  New Product Launch,  Analytics,  Strategy & Business Development and Customer Relationship Management. <br>Selection is through a test,  review of documents and projects/ portfolio,  and two rounds of interviews.  A pre- placement talk specific to this role is available if sufficient number of students are interested.  <br>For more details visit: <br>"
29,sufficient number,"Job Description<br>A digital marketing executive plays a specialized,  individual contributor role as part of the Digital Marketing & Analytics team.  Through digital and online techniques and analysis,  the digital marketing executive pursues specific goals in lead generation,  lead qualification,  communication,  brand building and conversion. <br> End to End execution of marketing projects and campaigns,  including ideation,  creation of collaterals,  distribution of collaterals in various media and measurement and analysis of impact.  <br> Execution of Search Engine Optimization on a continuous basis <br> Execution of Social Media Marketing efforts <br> Creation and execution of SMS and Email based marketing campaigns <br> Continuous review and active management of website and other online assets Passion for brand building and creativity are required for this role.  Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement.  Strong skills in online marketing,  branding,  social media marketing and copywriting are desirable.  Prior experience and training in online brand building would be a strong credential.  Abilities and aptitude in sales,  business development,  customer interaction and relationship would be appreciated. <br>The candidate will be trained in job specific skill requirements during the induction and probation period.  Strong Performance based Incentives and team targets will form an integral part of the job. <br>The role is an ideal preparation ground for more substantial roles in Marketing Management,  Product Management,  Product Marketing,  New Product Launch,  Analytics,  Strategy & Business Development and Customer Relationship Management. <br>Selection is through a test,  review of documents and projects/ portfolio,  and two rounds of interviews.  A pre- placement talk specific to this role is available if sufficient number of students are interested.  <br>For more details visit: <br>"
30,more details,"Job Description<br>A digital marketing executive plays a specialized,  individual contributor role as part of the Digital Marketing & Analytics team.  Through digital and online techniques and analysis,  the digital marketing executive pursues specific goals in lead generation,  lead qualification,  communication,  brand building and conversion. <br> End to End execution of marketing projects and campaigns,  including ideation,  creation of collaterals,  distribution of collaterals in various media and measurement and analysis of impact.  <br> Execution of Search Engine Optimization on a continuous basis <br> Execution of Social Media Marketing efforts <br> Creation and execution of SMS and Email based marketing campaigns <br> Continuous review and active management of website and other online assets Passion for brand building and creativity are required for this role.  Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement.  Strong skills in online marketing,  branding,  social media marketing and copywriting are desirable.  Prior experience and training in online brand building would be a strong credential.  Abilities and aptitude in sales,  business development,  customer interaction and relationship would be appreciated. <br>The candidate will be trained in job specific skill requirements during the induction and probation period.  Strong Performance based Incentives and team targets will form an integral part of the job. <br>The role is an ideal preparation ground for more substantial roles in Marketing Management,  Product Management,  Product Marketing,  New Product Launch,  Analytics,  Strategy & Business Development and Customer Relationship Management. <br>Selection is through a test,  review of documents and projects/ portfolio,  and two rounds of interviews.  A pre- placement talk specific to this role is available if sufficient number of students are interested.  <br>For more details visit: <br>"
31,digital marketing," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
32,individual contributor," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
33,online techniques," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
34,digital marketing," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
35,specific goals," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
36,lead generation," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
37,lead qualification," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
38,various media," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
39,continuous basis," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
40,Continuous review," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
41,active management," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
42,online assets," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
43,strong requirement," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
44,Strong skills," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
45,online marketing," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
46,social media," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
47,Prior experience," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
48,online brand," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
49,strong credential," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
50,specific skill," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
51,integral part," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
52,ideal preparation," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
53,substantial roles," A digital marketing executive plays a specialized, individual contributor role as part of the Digital Marketing & Analytics team. Through digital and online techniques and analysis, the digital marketing executive pursues specific goals in lead generation, lead qualification, communication, brand building and conversion.<br>Potential Key Result Areas include:<br><br>End to End execution of marketing projects and campaigns, including ideation, creation of collaterals, distribution of collaterals in various media and measurement and analysis of impact.<br>Execution of Search Engine Optimization on a continuous basis<br>Execution of Social Media Marketing efforts<br>Creation and execution of SMS and Email based marketing campaigns<br>Continuous review and active management of website and other online assets<br><br>Passion for brand building and creativity are required for this role. Discipline in execution and follow up of campaigns to achieve desired results is a strong requirement. Strong skills in online marketing, branding, social media marketing and copywriting are desirable. Prior experience and training in online brand building would be a strong credential. Abilities and aptitude in sales, business development, customer interaction and relationship would be appreciated.<br>The candidate will be trained in job specific skill requirements during the induction and probation period. Strong Performance based Incentives and team targets will form an integral part of the job.<br>The role is an ideal preparation ground for more substantial roles in Marketing Management, Product Management, Product Marketing, New Product Launch, Analytics, Strategy & Business Development and Customer Relationship Management.<br>"
